Start,End,Text
550.86,579.82,"Hadi bakalım ama sözünüzü tutmadınız. Bu gerçek olduğu için söylüyorum. Ibb'den sadece ibb'den 10 binin üzerinde 14.000 olduğu söyleniyor. Işçi kovuldubunu.ch p yönetimi yönetimi ele aldığında yaptı. Işçi mahkemelerinin koridorları sadece ibb'den kovulan işçilerin dosyalarıyla doldu taştı. Anladınız zaten ben onlardan bir tanesiyim, 4 yıl geçti dosyam hala sonuçlanmadı, oradan yola çıkın, 10 binin üzerindeki personeli işten çıkarmanıza rağmen şu andaki cumhurbaşkanlığı kampanyamızda."
579.82,612.25,"Hâlâ nasıl oluyor da bay Kemal sözünden dönmez sana söz diye kampanya yapabiliyorsunuz. Teşekkür ederiz, iyi b nin IB nin kadrolarını hala ittifak değiliz demenize rağmen cumhurbaşkanlığı seçiminde biz ittifak değiliz demenize rağmen IB. Nin kadroları HDPKK. Nin kontenjanları ile dolduruldu. Bu da gerçek bir şey olduğu için söylüyorum, Kemal bey'i biliyor. Soru, bu şekilde teşekkür ederim, ben teşekkür ediyorum, sağ ol çok özür dilerim. Estağfurullah bir isim verdiniz ozan benim hayır, hayır ozan bey o değil, bir örgüt ismi verdiniz de onu tam yazamadım."
612.25,617.61,HDPKK.
617.61,627.57,"Evet, pek k da gerçekten aplikasyon gibi yani bir AKPK oluyor bir CHP kanka oluyor, bir kendi başına ilerleyemedi. Evet."
627.57,662.03,"Buyurun buyurun hemen şöyle yolsuzluk dosyalarıyla ilgili bir arkadaşım sordu, artık o kadar sıradanlaştı ki yolsuzluk yapmayan adam suçlu hale geldi. Yolsuzluk yaptınız mı? Önünüze bütün kapılar açılıyor çünkü zincir yukarıya kadar gidiyor. Herkes niyetleniyor oradan. Dolayısıyla yolsuzluk yapmayan adam o adamdan bir halt olmaz denip bir köşeye atılıyor. Devletin yapısı şu anda böyle. Siz yolsuzluk yapan, rüşvet alan adamı, büyükelçi atadınız andan itibaren devlette çürüme başlar ve bu çürüme bütün alanlara yayılır düzelmesi lazım ama bunun için de mücadele edilmesi lazım. Milletvekillerini soru önergesi vesaire."
662.03,692.94,"Falan filan parlamento işlevini kaybetti. Sen bundan haberimiz yok. Mecliste iş yapıyor. Ne iş yapıyor, meclis geliyoruz, meclise gidiyoruz, meclise el kaldır indir 19 Mayıs hareketleri. Bunu ben söylemiyorum. Daha önce de milletvekilleri söylüyordu. Parlamentonun gerçek anlamda parlamento olabilmesi için yürütme organını denetlemesi lazım. Yürütme organını denetleme, ip de yürütme organı tarafından denetlenen bir meclis meclis olmaktan çıkar. Zaten güçlendirilmiş parlamenter sistemin temelinde de bu çelişkiyi ortadan kaldırmak bu garabeti ortadan kaldırmak, bunu bilmenizi isterim."
692.94,726.43,"Işçinin işine son verme evet aynı görüşteyim. Hala bugün aynı görüşteyim ama ben sizi yeni görüyorum. Siz bana hiç gelmediniz bilmiyorum ama şunu söyleyeyim, hangi gerekçeyle benim önce işten atıldığını da bakmam lazım. Ben söyleyeyim isterseniz sonra araştırırsanız belki şimdi değil, bana onu yani sizin adınızı, soyadınızı hangi birimde çalıştığınızı bana verirseniz benim bunu sormam lazım. Siz bunu hangi gerekçeyle çıkardınız? Çünkü ben hangi görüşte olursa olsun bir daha altını çizeyim. Hangi görüşte olursa olsun hiç kimsenin ekmeğiyle oynanmasını istemem. Hiç kimsenin bu konuda emin olmanızı isterim cevap."
726.43,759.41,"Şöyle bir böyle, şimdi bakın orada Ekrem bey'in şöyle bir şey oldu, onu da söyleyeyim, haklı tarafı var. Bir seçim oldu Ekrem bey kazandı. Yasalara aykırı olarak Yüksek Seçim Kurulu üzerine yapılan baskıyla aynı zarfın içine konulan 4 kağıttan üçü doğrudur, biri sahtedir dendi ve İptal ettiler, ikinci seçim oldu. 800.000 farka 13.000 fark 800 bine çıktı ama o arada pek çok kişi oy kazanmak için belediye alındı. O arada onlardan mısınız değil misiniz bilmiyorum onlardan değilim ha güzel o zaman çünkü onlardan insanız bu hakkıyla işe giren birisi değil politika."
759.41,794.65,"8 yıl çalıştım sizin için değil siz onlardan değilim dediniz. Zaten bir sorunumuz yok. Onların büyük bir kısmı vardı, yanlış hatırlamıyorsam 3 5.000 civarındaydı veya 8.000 civarında şu anda hatırlamıyorum Ekrem bey aradı. Evet dedi ki burada bir haksızlık var. Tamamen politik amaçlı bunlar işe alındı. Ben bunların işine son vermek zorundayım, bu doğru değil diye ama sizin haklı bir gerekçeniz varsa başımın üstüne siz mücadele etmezseniz ben mücadele edeceğim. Bu konuda da emin olmanızı isterim, benimle mücadele ediyorum ben geldim. Bu arada yanlış anlaşılmasın, kendi özel için söylemiyorum bunu benim gibi zaten 10 binin üzerinde insan var. Şimdi bakın değerli arkadaşlar."
794.65,829.88,"Benim her bir belediyeyi tek tek takip etme şansım yok ama varsa bir haksızlık bana yazabilirseniz benim mail adresime yazabilirsiniz. Il başkanımız burada il başkanımıza söyleyebilirsiniz. Herhalükarda onlar bana rahat ulaşabilirler. Ara verdiğimizde alalım hemen seni benim ekip arkadaşlarım iletişim bilgilerini telefonunuzu yazmayı unutmayın. Sonucu alırım size telefonda da açarım, telefonda da bildirim şu gerekçeyle olmuştur diye bir haksızlık varsa düzeltiriz. Oradan hiçbir endişeniz olmasın, bir de şimdi HDPKK kontenjanından evet hep böyle bir şey yok arkadaşlar ya bu ülkenin arkadaşlar içim suçlamak çok."
829.88,860.68,"Hayır, siz bir terör örgütü mensubunu işe alabilir misiniz? Devlet buna izin verir mi Allah aşkına ya nedir? Onun adı güvenlik soruşturması yapılıyor zaten. Güvenlik soruşturması soruluyor. Yani arkadaş ben bunu işe alacağım, ne diyorsun? Güvenlik soruşturması diyor ki, bir şey yok, bir şey yok deyince istanbul büyükşehir'in istihbarat birimi yok ki hiçbir kurumun istihbarat birimi yok, lafınızı bölüyorum, ben bunun belgelerini size aradan sonra bir sonraki partide getirsem elbette elbette biz de bu konuda aracı oluruz hiç merak etme, yani kafamda bir şüphe kalabilir elbette çok teşekkür ediyorum."
860.68,891.85,"Merhaba ben Hayri kayıkçıoğlu, sayın genel başkan'a bir sorum olacak. Hayri bey değil mi? Evet, güzel hüdapar cumhur ittifakı'nı destekleme kararı almadan önce sizin ittifak üyelerinden birçok isim hüdapar genel başkanıyla görüşmeler gerçekleştirdi. Hatta bunların içerisinde biraz önce gördüm galiba. Canan hanım da bir görüşme gerçekleştirdi. Çıkan haberler arasında onun da hüdapar istanbul il başkanıyla kahvaltı yapacağı yönünde haberler de çıktı. Piyasada şimdi cumhur ittifakı'nı destekleme kararı aldığı zaman hüdapar neden terörist ilan edildi?"
891.85,922.7,"Neden üstüne gidildi? Hizbullah'a bağlantısı, cumhur ittifakı'nı destekleme kararı aldıktan sonra mı ortaya çıktı? Birinci sorum bu ikinci ve son sorum da şu canımın ve mikrofon götürelim, kendisi de buradayken ikinci sorum. 2.013 yılında o dönem Başbakan olan Sayın Recep Tayyip Erdoğan, mardin'de bir konuşmasında biz türkçülüğü de kürtçülük de ayaklar altına almış bir partiyiz şeklinde bir ifade kullandı. Siz bunun üzerine aynı sözleri rize'de de söyleyebilir misin şeklinde başbakana meydan okudunuz, hatırlıyor musunuz?"
922.7,957.64,"Fethi hatırlıyorum. Şimdi siz de bu seçim kampanyasında birçok ile gidiyorsunuz. Güneydoğu'ya da gidiyorsunuz, karadeniz'e de gidiyorsunuz. Selahattin demirtaş'ın serbest kalmasını istiyorsanız bize katılacaksınız. Bize destek vereceksiniz şeklindeki ifadenizi aynısını Trabzon meydanında tekrarlayabilir misiniz? Güzel teşekkür ederiz efendim şimdi sakin olalım önce Canan hanım bir cevap verecektir galiba kahvaltıyı iddiasına buyurunuz evet çok teşekkür ederim izin verirseniz ben Cumhuriyet Halk Partisi istanbul il başkanı olarak yakınlarını kaybeden herkese."
957.64,990.71,"Görevim ve insanlığım gereği bir taze ya da geçmiş olsun telefon açarım. Örneğin Milliyetçi Hareket partisi'nin sayın genel başkanın oğlu vefat ettiğinde de ki açılmasa eksiklik olurdu. Siyasette farklı fikirlerde olabiliriz, hiç önemli değil. Kendisine taziye mesajı atmışım vardır. Hüda par'ın il başkanının annesinde rahatsızlığında kendisine telefonla arayıp, annesiyle ilgili geçmiş olsun, sonrasında da başsağlığı dileğim olmuştur. Herhangi bir kahvaltımız olmamıştır olsa da bunu açık yüreklilikle söylerdim. Teşekkür ederim, sağ olun."
990.71,992.5,Jaz.
992.5,998.45,"Endişe etmeyin, o konuda şimdi şöyle."
998.45,1003.41,"Ama şey olacak, yalnız köfte ekmek olacak, onu söyleyeyim. Evet."
1003.41,1034.62,"Evet şöyle, yasalara göre kurulan her partiye saygılıyız, altını çiziyor. Yasalara göre kurulan her partiye saygılıyız. Hiçbir parti ayrımı yapmıyoruz. Dolayısıyla bu parti iyi bu parti kötü o ayrı bir şey ama her partiye saygı duyarız, görüşümüz vardır, onların da görüşü vardır. Görüşlere saygı duyarız, yasal çerçeve içerisinde bunu yaparız ve bütün partilerle görüşen tek partiyiz, onu da altını çizeyim. Çünkü biz demokrasiyi savunan bir partiyiz. Herkesin görüşüne saygı duyarız. Herkesin görüşü neyse başımızın üstüne."
1034.62,1055,Baba görüşlerinin bir kısmına katılmayın. Mesela hüda par diyor ki ben anayasanın ilk 4 maddesini değiştireceğiz. Biz değiştirilmesine karşıyız. Onun görüşü öyle. Bizim görüşümüz böyle merak ettiğim acaba Sayın Erdoğan da anayasanın ilk 4 maddesini değiştirecek bir partiyle işbirliği yaptığına göre o da aynı görüşte mi değil mi?
1055,1086.94,"Bir saniye arkadaşlar teşekkür ederiz. Ben bitireyim. Siz gene devam edeyim. Hiçbir sorun yok, hiçbir sorun yok. Sayın Erdoğan her türlü milliyetçiliği ayaklarımın altına alıyorum dedi. Bir daha altını çizeyim, her türlü bende rize meydanında da söyleyebilir misin? Gitti, rize de de söyledi, her türlü milliyetçiliği ayaklarımın altına alıyorum diye. Ben 6 okulda milliyetçilik yazan bir Kemal Kılıçdaroğlu olarak kendi milliyetçiliğini bu ülkenin milliyetçiliğinin, milletinin haklarını sonuna kadar savunurum. Çünkü ben gerçekten de Mustafa kemal'in milliyetçisiyim, yani gerçek anlamda milliyetçiyim."
1086.94,1101.92,"Benim görüşüm böyledir. Kendi ülkemi anayasası var. Anayasal kurallar var. Örneğin hüda par diyor ki ben türk bayrağı demem diyor. Erdoğan bunu kabul ediyor mu, etmiyor mu? Ben kabul etmiyorum. Bayrağımız türk bayrağıdır, onunla da gurur duyarım o kadar."
1101.92,1138.66,"Yine aynı şekilde bir şey daha söyleyeyim. Aynı şekilde sadat denen bir kuruluş var. Sadat denen kuruluş diyor ki, ben türkçeyi kaldıracağım, Türkiye Cumhuriyeti devletini kaldıracağım. Avrasya'da bir devlet kuracağım, resmi dili Arapça olacak ve bu sedat'ın başkanı sayın cumhurbaşkanının danışmanı benim sadaka girişimin temel nedeni oydu. Sen kim oluyorsun da Türkiye Cumhuriyeti devletini kaldıracaksın, bayrağını kaldıracaksın, dilini değiştireceksin, erdoğan'ın yanında olacaksın, ben buna izin vermem dedim."
1138.66,1169.58,"Milliyetçi olmak, ırkçı olmak değil, altını çiziyorum, herkesin kimliğine saygı duyar. Milliyetçi olmanın 2 temel kuralı vardır. Bayrak ve vatan bayrağına, vatanına saygı duyan herkesin benim başımın üstünde yeri var. Ama bayrağa ve vatana saygı duymuyorsa kusura bakmasın. Ben 10'a çıkart mesafe koyarım, benim kuralım budur. Kimliği herkesin kimliği benim başımın üstüne hangi görüşten olursa olsun, hangi görüşten, siyasi görüşü de benim başımın üstüne ama bu ülkenin ben geleceğim ilk 4 maddesini değiştireceğim. Türkiye'nin sınırlarını değiştireceğim resmi dilini arapçaya."
1169.58,1183.22,"Hocam Türkiye devletini kaldıracağım, adı Afrika olacak ve bu toplantılar yapılacak. Bu toplantılara devletin erkanı katılacak. E bay Kemal de bunu seyredecek, yemezler seyretmem kusura bakmasın, kimse yemezler."
1183.22,1214.85,"Teşekkür ederim. Benim hüda par'a karşı bir şeyim yok. Yav niye bu parti böyle? O partinin görüşü öyle bakın ne dedim. Partinin görüşü ben onlara katılmam. Benim katıldığım, beraber olduğum altılı ittifakta hiç kimse bu görüşte değil, bunun da altını özenle çizmek isterim. Çünkü bu görüşte olan bir kişiyi biz kendi aramızda tutmayız ve barındırmayız. Beraber her şeyi ne yapacağımızı, ortak mutabakat metninde bakın. 2.000 maddelik bir Metin geleceğiz, iktidara Allah nasip ederse ne yapacağımız burada yazılı, hiç kimse bunun dışına çıkamaz altına imza attık, hiç kimse çıkamaz."
1214.85,1249.44,"Dolayısıyla attığımız imzanın arkasında duruyoruz. Bu ülkenin huzuru için bu ülkenin bereketi için bu ülkenin güzelliği için çalışacağız. Kişinin görüşü efendim, hüda par kuruldu, hemen kapatalım. Hayır arkadaşlar, o da bir parti kapatacak olan ben değilim. Kapatacak olan Yargıtay Cumhuriyet başsavcılığının hukuk çalışırsa hiçbir sorunumuz olmaz. Düşmanlık etmenin bir alemi yok. Bir başka partiyi kötüleşmenin alemi yok. Bakın siz HDPHDP dediniz, PK ile birleştirdiğiniz kardeşim, HDP dediğiniz parti, Türkiye Büyük Millet meclisi'ni bir hafta yönetiyor ve sırası geldiği zaman yani Türkiye Büyük Millet meclisi'nde görüşme olurken."
1249.44,1284.68,"Sayın Bahçeli de el kaldırır, ondan izin istemeden çıkıp kürsüye konuşamaz. Ben de o izin vermeden kürsüye çıkıp konuşamam parti'de öyle. Diğer partiler de öyle. Şimdi biz Türkiye Büyük Millet meclisi'ni PK yönetiyor diyebilir miyiz? Ya devleti bu kadar küçük devleti bu kadar itibarsız hale getirebilir miyiz? Ya bu devlet bizim devletimiz arkadaşlar, bu devletin güvenlik güçleri var. Türkiye bu kadar zayıf bir ülke mi Allah aşkına? Ya dolayısıyla bir dili kullanırken dikkatli olmalıyız, partilere saygı duyarız ama partiyi denetleyecek olan ben değilim. Partiyi iktidar yapacak olan halktır, halka güveneceğiz, halk bizi uzun süre iktidar yapmıyor yani şimdi biz."
1284.68,1319.92,"Çıkıp halka aşağılayacak mıyız? Hayır, efendim, halkın iradesine saygı duymak bize düşer. Halkın görüşü odur, saygı duyarız, iktidar eleştiririz, eleştirmez isek öneririz. Neyse bunun kuralı ama bir kan davası haline dönüştürüp emperyal güçlerin ekmeğine yağ sürmemeli. Biz bundan özellikle istirham ediyorum insanları ayırdık ya o kadar kutuplaştırıcı ki bizim sizinle kardeş olmamız lazım arkadaşlar ya sizin görüşünüz, ayrı olur, benim ayrı olur, birbirimize saygı duyacağız, elbette saygı duyacağız, akıl akıldan üstündür, ben yanlış düşünebilirim, bakın bir şey daha söyleyeyim, değerli arkadaşlarım hata denen kavram insana özgüdür, hata dene."
1319.92,1351.1,"Program az önce başörtüsüyle ilgili eleştiri yaptı. Ne dedim, hatalıydı dedim. Neden yanlış yaptıysanız kabul edeceksiniz. Hatadan dönmek bir erdemdir. Dolayısıyla efendim bu böyle yaptı, onu alıyorlar. Bütün partiye ya da bütün memlekete yayıyorlar. Böyle bir şey yok. Efendim Selahattin demirtaş'ı serbest bırakıyor arkadaşlar ben istesem de zaten serbest kalmak serbest bırakacak olan yargıdır. Osman kavala'yı serbest bırakacak olan yargıdır. Ben niçin yargılandılar diye itiraz etmedim itirazım niçin mahkeme kararları uygulanmıyor, itirazım buna."
1351.1,1384.15,"Sizi de mahkeme kararı uygulanmazsa hiç tanımasam da sizin hakkınızı savunacağım. Emine şenyaşar, Kürtçe biliyor, Türkçe bilmiyor. 2 çocuğu öldürüldü kocasının kafasına hastanede tüp vurularak öldürüldü ve bu kadın gitti. Bir kağıda adalet yazdı. Kağıdın üzerine adalet istiyorum diye ya bu kadın linç edildi vay bunlar aile pkk'lı diye her türlü suçlama yapıldı. Oysa ya bu kadının bir günahı yoktu ya vallahi billahi bir günahı yoktu yani 8 savcı iddianame düzenlemedi ya iddianame avukatı bana ulaştı e bir adaletsizlik var burada ya."
1384.15,1414.7,"Ya bi kadın ya 2 çocuğu öldürülüyor, kocası öldürülüyor savcı korkutan iddianame yazamıyor gittim kadını buldum. Adalet sarayının önünde buldum kadını ve bütün avukat arkadaşlarıma bu kadının hakkına sahip çıkın dedim ya oğlu tek kişilik hücrede kalıyor biliyor musunuz? Bu kadın hayatı boyunca bize hiç oy vermemiştir. Bak altını çiziyor, belki sandığa bile gitmemiştir, Kürtçe konuşuyor, ben anlamıyorum, ağlıyor, tercümanlar var orada ve en sonunda bir savcı iddianame yazmak zorunda kaldı. Yani şimdi buna hepimizin isyan etmesi bunun partisi olmaz."
1414.7,1448.44,"Az önce Diyarbakır anneleri yok efendim cumartesi anneleri ya anne annedir arkadaşlar ya bu kadar anneleri ayırmıyor anne annedir ya her anne için evladı vazgeçilmezdir her anne evladı için kendisinden vazgeçer ya. Dolayısıyla bizim yeni bir sürece evrilmesi lazım. Kutuplaşmanın ötesine çıkmamız lazım. Herkesi kucaklamak lazım. Birisi yanlış düşünebilir olabilir, ben de hata yapabilirim, niye olmadı? Hata dediğim gibi insana özgü bir kavramdır. Bizim dışımızdaki canlılar hata yapmaz çünkü onlar içgüdüleriyle hareket eder ama biz aklımızı kullanacağız, aklımızı hareket edeceğiz."
